ID,Source,Severity,Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Weather_Condition
A-1,Source2,3,Right lane blocked due to accident on I-70 Eastbound at Exit 41 OH-235 State Route 4.,I-70 E,Dayton,Montgomery,OH,45424,US,US/Eastern,KFFO,2/8/2016 5:58,36.9,Light Rain
A-2,Source2,2,Accident on Brice Rd at Tussing Rd. Expect delays.,Brice Rd,Reynoldsburg,Franklin,OH,43068-3402,US,US/Eastern,KCMH,2/8/2016 5:51,37.9,Light Rain
A-3,Source2,2,Accident on OH-32 State Route 32 Westbound at Dela Palma Rd. Expect delays.,State Route 32,Williamsburg,Clermont,OH,45176,US,US/Eastern,KI69,2/8/2016 6:56,36,Overcast
A-4,Source2,3,Accident on I-75 Southbound at Exits 52 52B US-35. Expect delays.,I-75 S,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/8/2016 7:38,35.1,Mostly Cloudy
A-5,Source2,2,Accident on McEwen Rd at OH-725 Miamisburg Centerville Rd. Expect delays.,Miamisburg Centerville Rd,Dayton,Montgomery,OH,45459,US,US/Eastern,KMGY,2/8/2016 7:53,36,Mostly Cloudy
A-6,Source2,3,Accident on I-270 Outerbelt Northbound near Exit 29 OH-3 State St. Expect delays.,Westerville Rd,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2/8/2016 7:51,37.9,Light Rain
A-7,Source2,2,Accident on Oakridge Dr at Woodward Ave. Expect delays.,N Woodward Ave,Dayton,Montgomery,OH,45417-2476,US,US/Eastern,KDAY,2/8/2016 7:56,34,Overcast
A-8,Source2,3,Accident on I-75 Southbound at Exit 54B Grand Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2/8/2016 7:56,34,Overcast
A-9,Source2,2,Accident on Notre Dame Ave at Warner Ave. Expect delays.,Notre Dame Ave,Dayton,Montgomery,OH,45404-1923,US,US/Eastern,KFFO,2/8/2016 7:58,33.3,Mostly Cloudy
A-10,Source2,3,Right hand shoulder blocked due to accident on I-270 Outerbelt Westbound at Exit 29 OH-3 State St.,Westerville Rd,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2/8/2016 8:28,37.4,Light Rain
A-11,Source2,3,Accident on I-270 Outerbelt Northbound at Exits 7 7A 7B US-40 Broad St. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,2/8/2016 7:50,35.6,Rain
A-12,Source2,3,One lane blocked due to accident on I-70 Westbound at Exits 110 110A 110B Brice Rd. Expect delays.,I-70 E,Reynoldsburg,Franklin,OH,43068,US,US/Eastern,KCMH,2/8/2016 8:28,37.4,Light Rain
A-13,Source2,2,Accident on Revere Ave at Watervliet Ave. Expect delays.,Watervliet Ave,Dayton,Montgomery,OH,45420-1863,US,US/Eastern,KFFO,2/8/2016 8:28,33.8,Overcast
A-14,Source2,2,Accident on Salem Ave at Hillcrest Ave / Kensington Dr. Expect delays.,Salem Ave,Dayton,Montgomery,OH,45406-2708,US,US/Eastern,KDAY,2/8/2016 8:56,36,Mostly Cloudy
A-15,Source2,2,Accident on OH-16 Broad St at James Rd. Expect delays.,E Broad St,Columbus,Franklin,OH,43213-1006,US,US/Eastern,KCMH,2/8/2016 8:28,37.4,Light Rain
A-16,Source2,2,Accident on Wayne Ave at Glencoe Ave. Expect delays.,Glencoe Ave,Dayton,Montgomery,OH,45410-1721,US,US/Eastern,KFFO,2/8/2016 8:28,33.8,Overcast
A-17,Source2,2,Accident on James H McGee Blvd at US-35. Expect delays.,S James H McGee Blvd,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2/8/2016 8:58,35.6,Mostly Cloudy
A-18,Source2,2,Accident on Delphos Ave at Brooklyn Ave. Expect delays.,Delphos Ave,Dayton,Montgomery,OH,45417-1727,US,US/Eastern,KDAY,2/8/2016 8:56,36,Mostly Cloudy
A-19,Source2,2,Accident on Stewart St near Rubicon St. Expect delays.,Rubicon St,Dayton,Montgomery,OH,45409-2659,US,US/Eastern,KFFO,2/8/2016 9:38,37.4,Overcast
